article_id_number,no_of_experiments,subfield,type_of_article,type_of_article_other,participants,participants_other,age,brain_beh,topic,topic_other,data_badge,data_statement_present,data_statement_indicates,data_quote,data_page_no,data_accessible,data_accessible_other,dataset_URL,type_of_data_repo,type_of_data_repo_other,which_data_repo,which_data_repo_other,dataset_URL_working,data_locatable,data_downloadable,data_correspond,data_complete,software,type_of_software,type_of_software_other,data_codebook,data_scripts,data_other_info,materials_badge,materials_statement_present,materials_statement_indicates,materials_quote,materials_page_no,materials_accessible,materials_accessible_other,materials_URL,type_of_materials_repo,type_of_materials_repo_other,which_materials_repo,which_materials_repo_other,materials_URL_working,materials_locatable,materials_downloadable,materials_correspond,materials_complete,materials_explanation,materials_other_info,supplemental_info,URL_supplemental_info,open_data_score,open_materials_score
2019-30-12-1780,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619885649,0,0
2020-31-5-518,5 or more,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,Data and analysis code for Studies 2 through 6 have been made publicly available via the Open Science Framework,529,Public dataset generated by the authors,NA,https://osf.io/hyk97/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, but only some of the data are available",No,NA,NA,No,Yes,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620909742,18,0
2020-31-12-1479,1,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available,",1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available,",1486,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797620972688,1,1
2020-31-9-1174,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data for Studies 1 and 2 have been made publicly available via the Open Science Framework,1181,Public dataset generated by the authors,NA,https://osf.io/gjh3c,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797620939940,19,0
2019-30-7-963,3,Cognition,NA,NA,Humans,NA,All other ages,Behaviour,"Intelligence, memory, decision making, reasoning, language, problem solving, creative thinking",NA,No,Yes,Unavailable,"Data from these experiments could not be made publicly available because Ethics Committee Research UZ / KU Leuven, which approved the study, does not permit the publication of data online.",977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Yes,Matlab,NA,NA,NA,NA,No,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619847164,2,0
2019-30-10-1413,1,Social Psychology,NA,NA,Humans,NA,All other ages,Both,"Emotion, personality, social behaviour",NA,Yes,Yes,Available,The data and a portion of the materials have been made publicly available on the Open Science Framework,1422,Public dataset generated by the authors,NA,https://osf.io/h5nbu/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,Other (please specify):,Mplus,Yes,No,An output zip file,No,Yes,Available,Posted materials include the syntax and output for all statistical models but exclude the questionnaires because they are copyrighted.,1422,Public set of materials generated by authors,NA,https://osf.io/h5nbu/,Independent archive/repository,NA,OSF,NA,Yes,No,NA,NA,NA,NA,NA,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619864530,20,6
2020-31-1-43,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,The analysis scripts and data are available on the Open Science Framework,46,Public dataset generated by the authors,NA,https://osf.io/uncbt/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,READ ME word doc,Yes,Yes,Available,"All data, materials, and analysis scripts have been made publicly available via the Open Science Framework",49,Public set of materials generated by authors,NA,https://osf.io/uncbt/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",Yes,"The stimuli themselves weren't included, only the analysis scripts. In this study, the analysis scripts were the materials","Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619888837,19,19
2019-30-7-1040,1,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,NA,NA,NA,NA,No,Yes,Unavailable,"Data and materials for this study have not been made publicly available, and the design and analysis plans were not preregistered.",1047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,1
2019-30-9-1287,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1300,Public dataset generated by the authors,NA,osf.io/kszge,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",No,NA,NA,Yes,No,No,Yes,Yes,Available,All data and materials have been made publicly available via the Open Science Framework,1300,Public set of materials generated by authors,NA,https://osf.io/kszge/,Independent archive/repository,NA,OSF,NA,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals-sagepub-com.wwwproxy1.library.unsw.edu.au/doi/suppl/10.1177/0956797619864601,19,14
2019-30-11-1656,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Yes,Available,"Anonymized raw EEG data from the final sample, analysis information, and stimuli have been made publicly available at Edmond",1662,Public dataset generated by the authors,NA,https://edmond.mpdl.mpg.de/imeji/collection/64vBL2yNY36dYZQv,Independent archive/repository,NA,Other (please specify):,Edmond,Yes,Yes,Yes,Unclear,"Yes, all of the data appear to be available",Yes,Matlab,NA,No,No,No,Yes,Yes,Available,"Anonymized raw EEG data from the final sample, analysis information, and stimuli have been made publicly available at Edmond",1662,Public set of materials generated by authors,NA,https://edmond.mpdl.mpg.de/imeji/collection/64vBL2yNY36dYZQv,Independent archive/repository,NA,Other (please specify):,Edmond,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,No,"Yes, and it is freely accessible",https://journals.sagepub.com/doi/suppl/10.1177/0956797619876260,13,14
