article_id_number,no_of_experiments,subfield,type_of_article,type_of_article_other,participants,participants_other,age,brain_beh,topic,topic_other,software,type_of_software,type_of_software_other,did_the_article_receive_a_badge_for_open_data,does_the_article_state_whether_or_not_the_data_are_available,data_statement_indicates_that_data_are,quote_of_statement_if_provided,page_number_of_statement_if_provided,how_are_data_accessible,url_to_dataset,data_url_links_to,if_data_url_links_to_an_independent_archive_repository_which_repository,does_the_data_url_go_to_a_working_page,are_the_data_located_at_the_working_page,can_the_data_be_downloaded,does_the_data_correspond_to_what_is_reported_in_the_article,are_the_data_complete,is_a_codebook_included_with_the_data_or_other_means_of_understanding_the_variables,are_analysis_scripts_included_with_the_data,are_the_data_understandable_and_usable_after_brief_review,is_anything_else_included_with_the_data,did_the_article_receive_a_badge_for_open_materials,does_the_article_state_whether_or_not_any_research_materials_are_available,statement_indicates_that_materials_are,quote_of_statement_if_provided_1,page_number_of_statement_if_provided_1,how_are_materials_accessible_please_only_fill_out_this_question_and_the_questions_below_if_the_articles_statement_indicates_that_the_materials_are_available,url_to_materials,materials_url_links_to,if_materials_url_links_to_an_independent_archive_repository_which_repository,does_the_materials_url_go_to_a_working_page,are_the_materials_located_at_the_working_page,can_the_materials_be_downloaded,do_the_materials_correspond_to_what_is_reported_in_the_article,are_the_materials_complete,are_analysis_scripts_included_with_the_materials,are_the_materials_understandable_and_usable_after_brief_review,is_anything_else_included_with_the_materials,does_the_article_state_whether_there_is_supplemental_information_available,url_to_supplemental_information,open_data_score,open_materials_score
1-1-2015,2,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,NA,NA,Yes,Yes,Available,"All data and materials have been made publicly available via Open Science Framework and can be accessed at https://osf.io/cw6y8/?view_only=24a186cebd52441ea0170ed63caf70ab and https://osf.io/5hzv9/?view_only=94aa2b0312c3463493ca6f61c5fc3811, respectively.",13,Public dataset generated by the authors,https://osf.io/cw6y8/?view_only=24a186cebd52441ea0170ed63caf70ab,Independent archive / repository,OSF,Yes,Yes,Yes,Yes,"Yes, all of the data appear to be available",Yes,No,Yes,NA,Yes,Yes,Available,"All data and materials have been made publicly available via Open Science Framework and can be accessed at https://osf.io/cw6y8/?view_only=24a186cebd52441ea0170ed63caf70ab and https://osf.io/5hzv9/?view_only=94aa2b0312c3463493ca6f61c5fc3811, respectively.",13,Public set of materials generated by the authors,https://osf.io/5hzv9/?view_only=94aa2b0312c3463493ca6f61c5fc3811,Independent archive / repository,OSF,Yes,Yes,Yes,Yes,"Yes, all of the materials appear to be available",No,Yes,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,19,14
1-10-2014,2,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
1-11-2014,3,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,Yes,Available,"The meta-analytic data from the genome-wide-association study on educational attainment (Rietveld et al., 2013) are pub-licly available for follow-up research and replication purposes at http://ssgac.org/Data.php.",1985,Public dataset generated by others,http://ssgac.org/Data.php,Third party site,NA,Yes,Yes,Yes,Yes,"No, not all of the data are available",No,No,Yes,NA,No,Yes,Available,Further details about materials and methods used in Rietveld et al. (2013) can be found in the Supplementary Material for Rietveld et al. (2013),1985,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,12,8
1-12-2014,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,SAS,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,0
1-2-2014,3,Cognitive Neuroscience,NA,NA,Humans,NA,All other ages,Brain,NA,NA,Yes,MATLAB,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,NA,1,0
1-2-2015,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Other (please specify):,Hierarchical Linear and Nonlinear Modeling (HLM) software: Version 6.08,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,"""Of the targeted-rejection events, 7 involved a romantic breakup, 6 involved problems with friends or other peers at school, and 4 involved problems at school, such as expulsion (for examples of these events, see Table S3 in the Supplemental Material)""",114,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub .com/content/by/supplemental-data,1,8
1-3-2014,1,Developmental Psychology,NA,NA,Humans,NA,0-18 years or 65 years+,NA,NA,NA,Yes,Other (please specify):,Colorado Optimized Language Tutor (COLT),No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,Yes,Available,"""More information about the software and semester schedule can be found in the Experimental Methods section of Additional Methods and Results in the Supplemental Material available online""""More information about the experimental procedure, subject pool, and study materials can be found in Materials, Procedure, and Participants in the Supplemental Material available online""",640,PS Supplemental Materials,http://pss.sagepub.com/content/by/supplemental-data,PS Supplemental Materials,PS Sagepub Supplemental Materials,Yes,Requires permission,Requires permission,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible","More information about the experimental procedure, subject pool, and study materials can be found in Materials, Procedure, and Participants in the Supplemental Material available online",1,8
1-3-2015,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
1-4-2014,2,Perception,NA,NA,Humans,NA,All other ages,Behaviour,Sensation,NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
1-4-2015,2,Social Psychology,NA,NA,Humans,NA,All other ages,Behaviour,"Emotion, personality, social behaviour",NA,No,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,No,No,No statement,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Yes, but it is not freely accessible",http://pss.sagepub.com/content/by/supplemental-data,0,0
