id,q4_1,q14,q16,q19
70,2019-30-9-1259	Selection of Visual Objects in Perception and Working Memory One at a Time,Public dataset generated by the authors,Independent archive/repository,Yes
71,2019-30-10-1424	Hide or Seek? Physiological Responses Reflect Both the Decision and the Attempt to Conceal Information,Public dataset generated by the authors,Independent archive/repository,Requires permission
72,2020-31-2-115	Implicit Gender Bias in Linguistic Descriptions for Expected Events: The Cases of the 2016 United States and 2017 United Kingdom Elections,Public dataset generated by the authors,Independent archive/repository,Yes
73,2020-31-2-129	Design Drives Discovery in Causal Learning,Public dataset generated by the authors,Independent archive/repository,Yes
74,2020-31-2-139	Children Delay Gratification for Cooperative Ends,Public dataset generated by the authors,Independent archive/repository,Yes
75,2020-31-2-149	Young Children Use Probability to Infer Happiness and the Quality of Outcomes,Public dataset generated by the authors,Independent archive/repository,Yes
76,2020-31-2-160	Body Maps of Moral Concerns,Public dataset generated by the authors,Independent archive/repository,Yes
77,2019-30-9-1273	Paying Back People Who Harmed Us but Not People Who Helped Us: Direct Negative Reciprocity Precedes Direct Positive Reciprocity in Early Development,Public dataset generated by the authors,Independent archive/repository,Yes
78,2019-30-10-1547	Visual Search May Not Require Target Representation in Working Memory or Long-Term Memory,Not clear,Other (please specify):,NA
79,2019-30-11-1592	Automated Study Challenges the Existence of a Foundational Statistical-Learning Ability in Newborn Chicks,Public dataset generated by the authors,Independent archive/repository,Yes
80,2019-30-12-1767	How to Change the Weight of Rare Events in Decisions From Experience,Public dataset generated by the authors,Independent archive/repository,Yes
81,2019-30-10-1424	Hide or Seek? Physiological Responses Reflect Both the Decision and the Attempt to Conceal Information,Public dataset generated by the authors,Independent archive/repository,Yes
82,2019-30-11-1561	Searching for Rewards Like a Child Means Less Generalization and More Directed Exploration,Public dataset generated by the authors,Independent archive/repository,Yes
83,2019-30-8-1136	Challenging Moral Attitudes With Moral Messages,Public dataset generated by the authors,Independent archive/repository,Yes
84,2019-30-8-1151	Specks of Dirt and Tons of Pain: Dosage Distinguishes Impurity From Harm,Public dataset generated by the authors,Independent archive/repository,Yes
85,2019-30-8-1161	High Endogenous Testosterone Levels Are Associated With Diminished Neural Emotional Control in Aggressive Police Recruits,NA,NA,NA
86,2019-30-8-1174	Capture and Control: Working Memory Modulates Attentional Capture by Reward-Related Stimuli,Public dataset generated by the authors,Independent archive/repository,Yes
87,2019-30-8-1186	College Expectations Promote College Attendance: Evidence From a Quasiexperimental Sibling Study,Public dataset generated by others,Other (please specify):,Requires permission
88,2019-30-7-1001	Aversive Imagery Causes De Novo Fear Conditioning,NA,NA,NA
89,2019-30-7-1016	Individual Differences in the Association Between Subjective Stress and Heart Rate Are Related to Psychological and Physical Well-Being,Public dataset generated by the authors,Independent archive/repository,Yes
