Article ID,DOI
2019-30-7-963,https://doi.org/10.1177/0956797619847164
2019-30-7-979,https://doi.org/10.1177/0956797619848351
2019-30-7-989,https://doi.org/10.1177/0956797619842251
2019-30-7-1001,https://doi.org/10.1177/0956797619842261
2019-30-7-1016,https://doi.org/10.1177/0956797619849555
2019-30-7-1030,https://doi.org/10.1177/0956797619849440
2019-30-7-1040,https://doi.org/10.1177/0956797619847989
2019-30-7-1050,https://doi.org/10.1177/0956797619849894
2019-30-7-1063,https://doi.org/10.1177/0956797619850168
2019-30-7-1074,https://doi.org/10.1177/0956797619849928
2019-30-7-1082,https://doi.org/10.1177/0956797619847166
2019-30-7-1087,https://doi.org/10.1177/0956797619849435
2019-30-7-1097,https://doi.org/10.1177/0956797619834513
2019-30-7-1099,https://doi.org/10.1177/0956797618815434
2019-30-7-1103,https://doi.org/10.1177/0956797619851731
2019-30-7-1106,https://doi.org/10.1177/0956797619854116
2019-30-7-1107,https://doi.org/10.1177/0956797619858006
2019-30-8-1111,https://doi.org/10.1177/0956797619849666
2019-30-8-1123,https://doi.org/10.1177/0956797619852027
2019-30-8-1136,https://doi.org/10.1177/0956797619854706
2019-30-8-1151,https://doi.org/10.1177/0956797619855382
2019-30-8-1161,https://doi.org/10.1177/0956797619851753
2019-30-8-1174,https://doi.org/10.1177/0956797619855964
2019-30-8-1186,https://doi.org/10.1177/0956797619855385
2019-30-8-1195,https://doi.org/10.1177/0956797619856844
2019-30-8-1205,https://doi.org/10.1177/0956797619859340
2019-30-8-1218,https://doi.org/10.1177/0956797619858969
2019-30-8-1234,https://doi.org/10.1177/0956797619854735
2019-30-8-1245,https://doi.org/10.1177/0956797619841265
2019-30-8-1253,https://doi.org/10.1177/0956797619860523
2019-30-8-1254,https://doi.org/10.1177/0956797619862548
2019-30-8-1255,https://doi.org/10.1177/0956797619858007
2019-30-9-1259,https://doi.org/10.1177/0956797619854067
2019-30-9-1273,https://doi.org/10.1177/0956797619854975
2019-30-9-1287,https://doi.org/10.1177/0956797619864601
2019-30-9-1303,https://doi.org/10.1177/0956797619859531
2019-30-9-1318,https://doi.org/10.1177/0956797619856658
2019-30-9-1333,https://doi.org/10.1177/0956797619861436
2019-30-9-1344,https://doi.org/10.1177/0956797619862276
2019-30-9-1352,https://doi.org/10.1177/0956797619859339
2019-30-9-1362,https://doi.org/10.1177/0956797619865183
2019-30-9-1371,https://doi.org/10.1177/0956797619861429
2019-30-9-1380,https://doi.org/10.1177/0956797618815482
2019-30-9-1383,https://doi.org/10.1177/0956797618815171
2019-30-9-1386,https://doi.org/10.1177/0956797619827880
2019-30-9-1389,https://doi.org/10.1177/0956797619827914
2019-30-9-1392,https://doi.org/10.1177/0956797619865236
2019-30-9-1397,https://doi.org/10.1177/0956797619834510
2019-30-9-1400,https://doi.org/10.1177/0956797619868994
2019-30-9-1403,https://doi.org/10.1177/0956797619841264
2019-30-9-1410,https://doi.org/10.1177/0956797619872961
2019-30-10-1413,https://doi.org/10.1177/0956797619864530
2019-30-10-1424,https://doi.org/10.1177/0956797619864598
2019-30-10-1434,https://doi.org/10.1177/0956797619859361
2019-30-10-1449,https://doi.org/10.1177/0956797619864887
2019-30-10-1460,https://doi.org/10.1177/0956797619868997
2019-30-10-1473,https://doi.org/10.1177/0956797619866625
2019-30-10-1483,https://doi.org/10.1177/0956797619867295
2019-30-10-1497,https://doi.org/10.1177/0956797619869905
2019-30-10-1510,https://doi.org/10.1177/0956797619868812
2019-30-10-1522,https://doi.org/10.1177/0956797619869337
2019-30-10-1533,https://doi.org/10.1177/0956797619870779
2019-30-10-1547,https://doi.org/10.1177/0956797619872749
2019-30-11-1561,https://doi.org/10.1177/0956797619863663
2019-30-11-1573,https://doi.org/10.1177/0956797619863780
2019-30-11-1584,https://doi.org/10.1177/0956797619867939
2019-30-11-1592,https://doi.org/10.1177/0956797619868998
2019-30-11-1603,https://doi.org/10.1177/0956797619872191
2019-30-11-1616,https://doi.org/10.1177/0956797619873344
2019-30-11-1625,https://doi.org/10.1177/0956797619875472
2019-30-11-1638,https://doi.org/10.1177/0956797619875482
2019-30-11-1648,https://doi.org/10.1177/0956797619863072
2019-30-11-1656,https://doi.org/10.1177/0956797619876260
2019-30-12-1669,https://doi.org/10.1177/0956797619893653
2019-30-12-1674,https://doi.org/10.1177/0956797619876982
2019-30-12-1696,https://doi.org/10.1177/0956797619879441
