Article ID,Authors,Year,Month,Title,DOI,Journal,Volume,Issue,Pages,Descriptors,Full author names
7-4-2013 CPS,"E Stephens, A Braid, PT Hertel",2013,Apr,Suppression-Induced Reduction in the Specificity of Autobiographical Memories.,10.1177/2167702612467773,CPS,1,2,163-169,,"Elizabeth Stephens, Amy Braid, Paula T Hertel"
4-1-2013 CPS,"ML Murphy, GM Slavich, N Rohleder, GE Miller",2013,Jan,Targeted Rejection Triggers Differential Pro- and Anti-Inflammatory Gene Expression in Adolescents as a Function of Social Status.,10.1177/2167702612455743,CPS,1,1,30-40,,"Michael L M Murphy, George M Slavich, Nicolas Rohleder, Gregory E Miller"
9-7-2013 CPS,"MN Moore, RH Salk, CA Van Hulle, LY Abramson, JS Hyde, K Lemery-Chalfant, HH Goldsmith",2013,Jul,"Genetic and Environmental Influences on Rumination, Distraction, and Depressed Mood in Adolescence.",10.1177/2167702612472884,CPS,1,3,316-322,,"Mollie N Moore, Rachel H Salk, Carol A Van Hulle, Lyn Y Abramson, Janet S Hyde, Kathryn Lemery-Chalfant, H Hill Goldsmith"
7-7-2013 CPS,"PR Goldin, H Jazaieri, M Ziv, H Kraemer, R Heimberg, JJ Gross",2013,Jul,Changes in Positive Self-Views Mediate the Effect of Cognitive-Behavioral Therapy for Social Anxiety Disorder.,10.1177/2167702613476867,CPS,1,3,301-310,,"Philippe R Goldin, Hooria Jazaieri, Michal Ziv, Helena Kraemer, Richard Heimberg, James J Gross"
3-7-2013 CPS,"J Hahn-Holbrook, CD Schetter, C Arora, CJ Hobel",2013,Jul,Placental Corticotropin-Releasing Hormone Mediates the Association Between Prenatal Social Support and Postpartum Depression.,10.1177/2167702612470646,CPS,1,3,253-264,,"Jennifer Hahn-Holbrook, Christine Dunkel Schetter, Chander Arora, Calvin J Hobel"
1-7-2013 CPS,"BP Dohrenwend, TJ Yager, MM Wall, BG Adams",2013,Jul,"The roles of combat exposure, personal vulnerability, and involvement in harm to civilians or prisoners in vietnam war-related posttraumatic stress disorder.",10.1177/2167702612469355,CPS,1,3,223-238,,"Bruce P Dohrenwend, Thomas J Yager, Melanie M Wall, Ben G Adams"
4-7-2013 CPS,"GT Smith, L Guller, TC Zapolski",2013,Jul,A comparison of two models of Urgency: Urgency predicts both rash action and depression in youth.,10.1177/2167702612470647,CPS,1,3,266-275,,"Gregory T Smith, Leila Guller, Tamika C B Zapolski"
3-4-2013 CPS,"DA Sbarra, A Boals, AE Mason, GM Larson, MR Mehl",2013,Mar,Expressive Writing Can Impede Emotional Recovery Following Marital Separation.,10.1177/2167702612469801,CPS,1,2,120-134,,"David A Sbarra, Adriel Boals, Ashley E Mason, Grace M Larson, Matthias R Mehl"
7-10-2013 CPS,"CM Ogle, DC Rubin, D Berntsen, IC Siegler",2013,Oct,The Frequency and Impact of Exposure to Potentially Traumatic Events Over the Life Course.,10.1177/2167702613485076,CPS,1,4,426-434,,"Christin M Ogle, David C Rubin, Dorthe Berntsen, Ilene C Siegler"
8-10-2013 CPS,"BE Wisco, DM Sloan, BP Marx",2013,Oct,Cognitive Emotion Regulation and Written Exposure Therapy for Posttraumatic Stress Disorder.,10.1177/2167702613486630,CPS,1,4,435-442,,"Blair E Wisco, Denise M Sloan, Brian P Marx"
3-10-2013 CPS,"DC Rubin, N Feeling",2013,Oct,Measuring the Severity of Negative and Traumatic Events.,10.1177/2167702613483112,CPS,1,4,375-389,,"David C Rubin, Nicole Feeling"
5-10-2013 CPS,"SM Schueller, EJ Pérez-Stable, RF Muñoz",2013,Oct,A Mood Management Intervention in an Internet Stop Smoking Randomized Controlled Trial Does Not Prevent Depression: A Cautionary Tale.,10.1177/2167702613484717,CPS,1,4,401-412,,"Stephen M Schueller, Eliseo J Pérez-Stable, Ricardo F Muñoz"
4-1-2014 CPS,"LS Onken, KM Carroll, V Shoham, BN Cuthbert, M Riddle",2014,Jan,Reenvisioning Clinical Science: Unifying the Discipline to Improve the Public Health.,10.1177/2167702613497932,CPS,2,1,22-34,,"Lisa S Onken, Kathleen M Carroll, Varda Shoham, Bruce N Cuthbert, Melissa Riddle"
5-7-2014 CPS,"AM Kring, EH Siegel, LF Barrett",2014,Jul,Unseen Affective Faces Influence Person Perception Judgments in Schizophrenia.,10.1177/2167702614536161,CPS,2,4,443-454,,"Ann M Kring, Erika H Siegel, Lisa Feldman Barrett"
4-7-2014 CPS,"D Watson, K Naragon-Gainey",2014,Jul,"Personality, Emotions, and the Emotional Disorders.",10.1177/2167702614536162,CPS,2,4,422-442,,"David Watson, Kristin Naragon-Gainey"
4-3-2014 CPS,"B Kleim, B Graham, S Fihosy, R Stott, A Ehlers",2014,Mar,Reduced Specificity in Episodic Future Thinking in Posttraumatic Stress Disorder.,10.1177/2167702613495199,CPS,2,2,165-173,,"Birgit Kleim, Belinda Graham, Sonia Fihosy, Richard Stott, Anke Ehlers"
8-3-2014 CPS,"J Fischer, K Koldewyn, YV Jiang, N Kanwisher",2014,Mar,Unimpaired Attentional Disengagement and Social Orienting in Children with Autism.,10.1177/2167702613496242,CPS,2,2,214-223,,"Jason Fischer, Kami Koldewyn, Yuhong V Jiang, Nancy Kanwisher"
6-3-2014 CPS,"AS Farmer, TB Kashdan",2014,Mar,Affective and Self-Esteem Instability in the Daily Lives of People with Generalized Social Anxiety Disorder.,10.1177/2167702613495200,CPS,2,2,187-201,,"Antonina S Farmer, Todd B Kashdan"
1-3-2014 CPS,"A Caspi, RM Houts, DW Belsky, SJ Goldman-Mellor, H Harrington, S Israel, MH Meier, S Ramrakha, I Shalev, R Poulton, TE Moffitt",2014,Mar,The p Factor: One General Psychopathology Factor in the Structure of Psychiatric Disorders?,10.1177/2167702613497473,CPS,2,2,119-137,,"Avshalom Caspi, Renate M Houts, Daniel W Belsky, Sidra J Goldman-Mellor, HonaLee Harrington, Salomon Israel, Madeline H Meier, Sandhya Ramrakha, Idan Shalev, Richie Poulton, Terrie E Moffitt"
5-3-2014 CPS,"D Berntsen, DC Rubin",2014,Mar,Involuntary Memories and Dissociative Amnesia: Assessing Key Assumptions in PTSD Research.,10.1177/2167702613496241,CPS,2,2,174-186,,"Dorthe Berntsen, David C Rubin"
7-3-2014 CPS,"K Wolitzky-Taylor, S Vrshek-Schallhorn, AM Waters, S Mineka, R Zinbarg, E Ornitz, B Naliboff, MG Craske",2014,Mar,Adversity in early and mid-adolescence is associated with elevated startle responses to safety cues in late adolescence.,10.1177/2167702613495840,CPS,2,2,202-213,,"Kate Wolitzky-Taylor, Suzanne Vrshek-Schallhorn, Allison M Waters, Susan Mineka, Rick Zinbarg, Edward Ornitz, Bruce Naliboff, Michelle G Craske"
8-5-2014 CPS,"NA Hubbard, JL Hutchison, MA Motes, E Shokri-Kojori, IJ Bennett, RM Brigante, RW Haley, B Rypma",2014,May,Central Executive Dysfunction and Deferred Prefrontal Processing in Veterans with Gulf War Illness.,10.1177/2167702613506580,CPS,2,3,319-327,,"Nicholas A Hubbard, Joanna L Hutchison, Michael A Motes, Ehsan Shokri-Kojori, Ilana J Bennett, Ryan M Brigante, Robert W Haley, Bart Rypma"
