Article Identification Number,Title,Authors,Year,Month,Journal,Volume,Issue,Page Numbers,DOI
26-4-2014,"Pregnancy, marriage, and quitting school nurture personality development? Commentary on Bleidorn, Klimstra, Denissen, Rentfrow, Potter, and Gosling (2013).",A Terracciano,2014,Apr,Psychological Science,25,4,1049-50,10.1177/0956797613515003
25-4-2014,Do difficult decisions motivate belief in fate? A test in the context of the 2012 U.S. presidential election.,"S Tang, S Shepherd, AC Kay",2014,Apr,Psychological Science,25,4,1046–1048,10.1177/0956797613519448
20-4-2014,Task-focused behavior mediates the associations between supportive interpersonal environments and students' academic performance.,"N Kiuru, E Pakarinen, K Vasalampi, G Silinskas, K Aunola, AM Poikkeus, RL Metsí_pelto, MK Lerkkanen, JE Nurmi",2014,Apr,Psychological Science,25,4,1018-24,10.1177/0956797613519111
15-4-2014,"The emergence of ""us and them"" in 80 lines of code: modeling group genesis in homogeneous populations.","K Gray, DG Rand, E Ert, K Lewis, S Hershman, MI Norton",2014,Apr,Psychological Science,25,4,982-90,10.1177/0956797614521816
24-4-2014,Know thy avatar: the unintended effect of virtual-self representation on behavior.,"G Yoon, PT Vargas",2014,Apr,Psychological Science,25,4,1043–1045,10.1177/0956797613519271
3-4-2014,Selective social learning of plant edibility in 6- and 18-month-old infants.,"AE Wertz, K Wynn",2014,Apr,Psychological Science,25,4,874-82,10.1177/0956797613516145
13-4-2014,Continuous theta-burst stimulation demonstrates a causal role of premotor homunculus in action understanding.,"J Michael, K Sandberg, J Skewes, T Wolf, J Blicher, M Overgaard, CD Frith",2014,Apr,Psychological Science,25,4,963-72,10.1177/0956797613520608
17-4-2014,Obesity is a disease: examining the self-regulatory impact of this public-health message.,"CL Hoyt, JL Burnette, L Auster-Gussman",2014,Apr,Psychological Science,25,4,997-1002,10.1177/0956797613516981
16-4-2014,A visual-familiarity account of evidence for orthographic processing in baboons (Papio papio).,"JR Vokey, RK Jamieson",2014,Apr,Psychological Science,25,4,991-6,10.1177/0956797613516634
8-4-2014,The ontogeny of the motivation that underlies in-group bias.,"D Buttelmann, R Bí_hm",2014,Apr,Psychological Science,25,4,921-7,10.1177/0956797613516802
9-4-2014,Far-out thinking: generating solutions to distant analogies promotes relational thinking.,"MS Vendetti, A Wu, KJ Holyoak",2014,Apr,Psychological Science,25,4,928-33,10.1177/0956797613518079
21-4-2014,Later maturation of the beneficial than the detrimental effect of selective memory retrieval.,"A Aslan, KH Bí_uml",2014,Apr,Psychological Science,25,4,1025-30,10.1177/0956797613519270
19-4-2014,Positive thinking about the future in newspaper reports and presidential addresses predicts economic downturn.,"AT Sevincer, G Wagner, J Kalvelage, G Oettingen",2014,Apr,Psychological Science,25,4,1010–1017,10.1177/0956797613518350
22-4-2014,Language switching makes pronunciation less nativelike.,"M Goldrick, E Runnqvist, A Costa",2014,Apr,Psychological Science,25,4,1031–1036,10.1177/0956797613520014
6-4-2014,From action to abstraction: using the hands to learn math.,"MA Novack, EL Congdon, N Hemani-Lopez, S Goldin-Meadow",2014,Apr,Psychological Science,25,4,903-10,10.1177/0956797613518351
5-4-2014,Young children can be taught basic natural selection using a picture-storybook intervention.,"D Kelemen, NA Emmons, R Seston Schillaci, PA Ganea",2014,Apr,Psychological Science,25,4,893-902,10.1177/0956797613516009
18-4-2014,Dopamine and the cognitive downside of a promised bonus.,"E Aarts, DL Wallace, LC Dang, WJ Jagust, R Cools, M D'Esposito",2014,Apr,Psychological Science,25,4,1003–1009,10.1177/0956797613517240
2-4-2014,Accurate metacognition for visual sensory memory representations.,"AR Vandenbroucke, IG Sligte, AB Barrett, AK Seth, JJ Fahrenfort, VA Lamme",2014,Apr,Psychological Science,25,4,861-73,10.1177/0956797613516146
27-4-2014,Let the data speak: a response to Terracciano (2014).,"W Bleidorn, TA Klimstra, JJ Denissen, PJ Rentfrow, J Potter, SD Gosling",2014,Apr,Psychological Science,25,4,1051–1053,10.1177/0956797614521015
12-4-2014,The first-mover disadvantage: the folly of revealing compatible preferences.,"DD Loschelder, RI Swaab, R Trí_tschel, AD Galinsky",2014,Apr,Psychological Science,25,4,954-62,10.1177/0956797613520168
14-4-2014,Evil genius? How dishonesty can lead to greater creativity.,"F Gino, SS Wiltermuth",2014,Apr,Psychological Science,25,4,973-81,10.1177/0956797614520714
1-4-2014,Nonaccidental properties underlie human categorization of complex natural scenes.,"DB Walther, D Shen",2014,Apr,Psychological Science,25,4,851-60,10.1177/0956797613512662
23-4-2014,Spousal relationship quality and cardiovascular risk: dyadic perceptions of relationship ambivalence are associated with coronary-artery calcification.,"BN Uchino, TW Smith, CA Berg",2014,Apr,Psychological Science,25,4,1037-42,10.1177/0956797613520015
4-4-2014,Heralding the authoritarian? Orientation toward authority in early childhood.,"M Reifen Tagar, CM Federico, KE Lyons, S Ludeke, MA Koenig",2014,Apr,Psychological Science,25,4,883-92,10.1177/0956797613516470
2-8-2014,Young children make their gestural communication systems more language-like: segmentation and linearization of semantic elements in motion events.,"Z Clay, S Pople, B Hood, S Kita",2014,Aug,Psychological Science,25,8,1518-25,10.1177/0956797614533967
5-8-2014,Long-term temporal tracking of speech rate affects spoken-word recognition.,"MM Baese-Berk, CC Heffner, LC Dilley, MA Pitt, TH Morrill, JD McAuley",2014,Aug,Psychological Science,25,8,1546-53,10.1177/0956797614533705
4-8-2014,The value of numbers in economic rewards.,"FJ Kanayet, JE Opfer, WA Cunningham",2014,Aug,Psychological Science,25,8,1534-45,10.1177/0956797614533969
12-8-2014,"Deliberate practice and performance in music, games, sports, education, and professions: a meta-analysis.","BN Macnamara, DZ Hambrick, FL Oswald",2014,Aug,Psychological Science,25,8,1608-18,10.1177/0956797614535810
6-8-2014,The moral ties that bind . . . Even to out-groups: the interactive effect of moral identity and the binding moral foundations.,"IH Smith, K Aquino, S Koleva, J Graham",2014,Aug,Psychological Science,25,8,1554-62,10.1177/0956797614534450
14-8-2014,Can classic moral stories promote honesty in children?,"K Lee, V Talwar, A McCarthy, I Ross, A Evans, C Arruda",2014,Aug,Psychological Science,25,8,1630–1636,10.1177/0956797614536401
13-8-2014,The working memory stroop effect: when internal representations clash with external stimuli.,"A Kiyonaga, T Egner",2014,Aug,Psychological Science,25,8,1619-29,10.1177/0956797614536739
9-8-2014,The too-much-talent effect: team interdependence determines when more talent is too much or not enough.,"RI Swaab, M Schaerer, EM Anicich, R Ronay, AD Galinsky",2014,Aug,Psychological Science,25,8,1581-91,10.1177/0956797614537280
7-8-2014,Free will and punishment: a mechanistic view of human nature reduces retribution.,"AF Shariff, JD Greene, JC Karremans, JB Luguri, CJ Clark, JW Schooler, RF Baumeister, KD Vohs",2014,Aug,Psychological Science,25,8,1563-70,10.1177/0956797614534693
3-8-2014,Are orchids left and dandelions right? Frontal brain activation asymmetry and its sensitivity to developmental context.,"P Fortier, RJ Van Lieshout, JA Waxman, MH Boyle, S Saigal, LA Schmidt",2014,Aug,Psychological Science,25,8,1526-33,10.1177/0956797614534267
1-8-2014,The commitment function of angry facial expressions.,"LI Reed, P DeScioli, SA Pinker",2014,Aug,Psychological Science,25,8,1511–1517,10.1177/0956797614531027
16-8-2014,Implicit self-evaluations predict changes in implicit partner evaluations.,"JK McNulty, LR Baker, MA Olson",2014,Aug,Psychological Science,25,8,1649-57,10.1177/0956797614537833
8-8-2014,Exploring Solomon's Paradox: Self-Distancing Eliminates the Self-Other Asymmetry in Wise Reasoning About Close Relationships in Younger and Older Adults.,"I Grossmann, E Kross",2014,Aug,Psychological Science,25,8,1571-80,10.1177/0956797614535400
15-8-2014,Embodied effects of conceptual knowledge continuously perturb the hand in flight.,"BC Till, ME Masson, DN Bub, PF Driessen",2014,Aug,Psychological Science,25,8,1637-48,10.1177/0956797614538842
2-12-2014,Providing views of the driving scene to drivers' conversation partners mitigates cell-phone-related distraction.,"JG Gaspar, WN Street, MB Windsor, R Carbonari, H Kaczmarski, AF Kramer, KE Mathewson",2014,Dec,Psychological Science,25,12,2136-46,10.1177/0956797614549774
3-12-2014,Body movement selectively shapes the neural representation of musical rhythms.,"B Chemin, A Mouraux, S Nozaradan",2014,Dec,Psychological Science,25,12,2147-59,10.1177/0956797614551161
16-12-2014,The morality of larks and owls: unethical behavior depends on chronotype as well as time of day.,"BC Gunia, CM Barnes, S Sah",2014,Dec,Psychological Science,25,12,2272–2274,10.1177/0956797614541989
17-12-2014,Does the morning morality effect hold true only for morning people?,"IH Smith, M Kouchaki",2014,Dec,Psychological Science,25,12,2275–2276,10.1177/0956797614552499
18-12-2014,Just how bad negative affect is for your health depends on culture.,"KB Curhan, T Sims, HR Markus, S Kitayama, M Karasawa, N Kawakami, GD Love, CL Coe, Y Miyamoto, CD Ryff",2014,Dec,Psychological Science,25,12,2277-80,10.1177/0956797614543802
13-12-2014,Conceptual processing of distractors by older but not younger adults.,"T Amer, L Hasher",2014,Dec,Psychological Science,25,12,2252–2258,10.1177/0956797614555725
9-12-2014,Shared experiences are amplified.,"EJ Boothby, MS Clark, JA Bargh",2014,Dec,Psychological Science,25,12,2209-16,10.1177/0956797614551162
