article_id_number,subfield_groups,time_period,total_data_score,total_materials_score
1-1-2015,Other,1st half 2015,19,14
1-10-2014,Developmental Psychology,2nd half 2014,0,0
1-11-2014,Social Psychology,1st half 2014,12,8
1-12-2014,Developmental Psychology,1st half 2014,1,0
1-2-2014,Other,1st half 2014,1,0
1-2-2015,Developmental Psychology,1st half 2015,1,8
1-3-2014,Developmental Psychology,1st half 2014,1,8
1-3-2015,Social Psychology,1st half 2015,0,0
1-4-2014,Other,1st half 2014,0,0
1-4-2015,Social Psychology,1st half 2015,0,0
1-5-2014,Other,1st half 2014,1,0
1-6-2014,Cognition,1st half 2014,20,14
1-7-2014,Cognition,2nd half 2014,0,0
1-8-2014,Social Psychology,2nd half 2014,0,0
10-1-2014,Social Psychology,1st half 2014,1,0
10-1-2015,Cognition,1st half 2015,1,8
10-10-2014,Developmental Psychology,2nd half 2014,1,0
10-11-2014,Developmental Psychology,1st half 2014,0,0
10-12-2014,Cognition,1st half 2014,0,0
10-2-2014,Cognition,1st half 2014,0,0
10-2-2015,Social Psychology,1st half 2015,7,7
10-3-2014,Other,1st half 2014,1,0
10-3-2015,Developmental Psychology,1st half 2015,0,0
10-4-2014,Social Psychology,1st half 2014,1,0
10-4-2015,Other,1st half 2015,1,0
10-5-2014,Developmental Psychology,1st half 2014,1,8
10-5-2015,Other,1st half 2015,0,0
10-6-2014,Cognition,1st half 2014,0,0
10-7-2014,Cognition,2nd half 2014,14,0
10-8-2014,Cognition,2nd half 2014,0,0
10-9-2014,Social Psychology,2nd half 2014,19,18
11-1-2014,Developmental Psychology,1st half 2014,0,0
11-10-2014,Social Psychology,2nd half 2014,0,0
11-11-2014,Other,1st half 2014,14,14
11-12-2014,Social Psychology,1st half 2014,14,14
11-2-2014,Other,1st half 2014,0,13
11-2-2015,Other,1st half 2015,0,0
11-3-2014,Social Psychology,1st half 2014,0,0
11-4-2014,Social Psychology,1st half 2014,0,0
11-4-2015,Developmental Psychology,1st half 2015,0,0
11-5-2014,Social Psychology,1st half 2014,8,0
11-5-2015,Cognition,1st half 2015,20,19
11-6-2014,Other,1st half 2014,0,0
11-7-2014,Social Psychology,2nd half 2014,0,0
11-8-2014,Other,2nd half 2014,1,0
11-9-2014,Cognition,2nd half 2014,1,10
12-1-2014,Cognition,1st half 2014,0,0
12-10-2014,Social Psychology,2nd half 2014,0,0
12-11-2014,Cognition,1st half 2014,1,0
12-12-2014,Developmental Psychology,1st half 2014,0,0
12-2-2014,Cognition,1st half 2014,0,0
12-2-2015,Cognition,1st half 2015,14,14
12-3-2014,Developmental Psychology,1st half 2014,0,0
12-4-2014,Social Psychology,1st half 2014,0,0
12-4-2015,Developmental Psychology,1st half 2015,0,0
12-6-2014,Developmental Psychology,1st half 2014,0,0
12-7-2014,Cognition,2nd half 2014,11,0
12-8-2014,Cognition,2nd half 2014,15,8
12-9-2014,Developmental Psychology,2nd half 2014,10,0
13-1-2014,Social Psychology,1st half 2014,0,0
13-10-2014,Social Psychology,2nd half 2014,14,13
13-11-2014,Other,1st half 2014,1,0
13-12-2014,Cognition,1st half 2014,0,0
13-2-2014,Social Psychology,1st half 2014,12,0
13-2-2015,Other,1st half 2015,1,8
13-3-2014,Other,1st half 2014,1,0
13-4-2014,Other,1st half 2014,0,0
13-4-2015,Social Psychology,1st half 2015,0,0
13-6-2014,Cognition,1st half 2014,24,19
13-7-2014,Other,2nd half 2014,14,7
13-8-2014,Cognition,2nd half 2014,0,14
13-9-2014,Social Psychology,2nd half 2014,0,0
14-1-2014,Social Psychology,1st half 2014,0,0
14-11-2014,Other,1st half 2014,0,0
14-12-2014,Social Psychology,1st half 2014,0,0
14-2-2014,Other,1st half 2014,0,8
14-3-2014,Cognition,1st half 2014,8,10
14-4-2014,Cognition,1st half 2014,0,0
14-4-2015,Developmental Psychology,1st half 2015,0,0
14-6-2014,Other,1st half 2014,0,0
14-7-2014,Developmental Psychology,2nd half 2014,0,0
14-8-2014,Developmental Psychology,2nd half 2014,0,0
14-9-2014,Social Psychology,2nd half 2014,1,0
15-1-2014,Social Psychology,1st half 2014,1,13
15-11-2014,Other,1st half 2014,0,0
15-12-2014,Cognition,1st half 2014,0,0
15-2-2014,Social Psychology,1st half 2014,0,0
15-3-2014,Social Psychology,1st half 2014,13,0
15-4-2014,Social Psychology,1st half 2014,1,0
15-4-2015,Developmental Psychology,1st half 2015,0,0
15-6-2014,Cognition,1st half 2014,0,14
15-7-2014,Cognition,2nd half 2014,0,0
15-8-2014,Cognition,2nd half 2014,1,8
15-9-2014,Cognition,2nd half 2014,1,0
16-1-2014,Cognition,1st half 2014,0,14
16-11-2014,Cognition,1st half 2014,14,0
16-12-2014,Cognition,1st half 2014,0,0
16-2-2014,Cognition,1st half 2014,0,8
16-2-2015,Social Psychology,1st half 2015,25,19
16-3-2014,Cognition,1st half 2014,0,8
16-4-2014,Other,1st half 2014,0,0
16-4-2015,Other,1st half 2015,0,0
16-6-2014,Social Psychology,1st half 2014,0,0
16-7-2014,Other,2nd half 2014,0,0
16-8-2014,Social Psychology,2nd half 2014,14,13
16-9-2014,Social Psychology,2nd half 2014,24,19
17-1-2014,Cognition,1st half 2014,0,14
17-2-2014,Developmental Psychology,1st half 2014,1,0
17-2-2015,Social Psychology,1st half 2015,14,0
17-3-2014,Cognition,1st half 2014,8,8
17-4-2014,Other,1st half 2014,0,0
17-4-2015,Other,1st half 2015,1,0
17-6-2014,Other,1st half 2014,0,0
17-7-2014,Developmental Psychology,2nd half 2014,1,0
17-9-2014,Other,2nd half 2014,0,0
18-1-2014,Developmental Psychology,1st half 2014,0,0
18-12-2014,Social Psychology,1st half 2014,0,0
18-2-2014,Cognition,1st half 2014,0,0
18-3-2014,Developmental Psychology,1st half 2014,0,0
18-4-2014,Other,1st half 2014,1,0
18-4-2015,Cognition,1st half 2015,1,0
18-7-2014,Other,2nd half 2014,20,19
18-9-2014,Other,2nd half 2014,0,0
19-1-2014,Social Psychology,1st half 2014,0,4
19-12-2014,Social Psychology,1st half 2014,8,8
19-2-2014,Social Psychology,1st half 2014,1,0
19-3-2014,Social Psychology,1st half 2014,1,8
19-4-2014,Cognition,1st half 2014,1,0
19-4-2015,Social Psychology,1st half 2015,14,0
19-7-2014,Other,2nd half 2014,15,14
19-9-2014,Other,2nd half 2014,0,0
2-1-2015,Social Psychology,1st half 2015,14,14
2-10-2014,Social Psychology,2nd half 2014,19,19
2-11-2014,Developmental Psychology,1st half 2014,1,0
2-12-2014,Cognition,1st half 2014,0,0
2-2-2014,Other,1st half 2014,0,8
2-2-2015,Other,1st half 2015,24,19
2-3-2014,Social Psychology,1st half 2014,0,6
2-3-2015,Developmental Psychology,1st half 2015,0,8
2-4-2014,Cognition,1st half 2014,0,0
2-4-2015,Social Psychology,1st half 2015,0,0
2-5-2014,Other,1st half 2014,1,0
2-5-2015,Cognition,1st half 2015,0,0
2-6-2014,Social Psychology,1st half 2014,1,14
2-7-2014,Social Psychology,2nd half 2014,0,0
2-8-2014,Developmental Psychology,2nd half 2014,0,8
2-9-2014,Other,2nd half 2014,0,0
20-1-2014,Cognition,1st half 2014,0,14
20-2-2014,Developmental Psychology,1st half 2014,19,0
20-3-2014,Social Psychology,1st half 2014,0,0
20-4-2014,Developmental Psychology,1st half 2014,1,0
20-4-2015,Social Psychology,1st half 2015,0,0
20-7-2014,Other,2nd half 2014,0,0
20-9-2014,Other,2nd half 2014,0,0
21-1-2014,Other,1st half 2014,0,0
21-2-2014,Cognition,1st half 2014,0,0
21-3-2014,Cognition,1st half 2014,0,0
21-4-2014,Developmental Psychology,1st half 2014,0,0
21-7-2014,Developmental Psychology,2nd half 2014,20,14
22-1-2014,Social Psychology,1st half 2014,2,0
22-2-2014,Social Psychology,1st half 2014,0,0
22-3-2014,Other,1st half 2014,0,0
