Article ID,Title,DOI,Authors,Year,Month,Volume,Issue,Pages
2019-30-7-963,Schema and Motor-Memory Consolidation,https://doi.org/10.1177/0956797619847164,,,,,,
2019-30-7-979,The Grateful Don’t Cheat: Gratitude as a Fount of Virtue,https://doi.org/10.1177/0956797619848351,,,,,,
2019-30-7-989,Memory for Repeated Images in Rapid-Serial-Visual-Presentation Streams of Thousands of Images,https://doi.org/10.1177/0956797619842251,,,,,,
2019-30-7-1001,Aversive Imagery Causes De Novo Fear Conditioning,https://doi.org/10.1177/0956797619842261,,,,,,
2019-30-7-1016,Individual Differences in the Association Between Subjective Stress and Heart Rate Are Related to Psychological and Physical Well-Being,https://doi.org/10.1177/0956797619849555,,,,,,
2019-30-7-1030,Perceived Weight Discrimination Mediates the Prospective Association Between Obesity and Physiological Dysregulation: Evidence From a Population-Based Cohort,https://doi.org/10.1177/0956797619849440,,,,,,
2019-30-7-1040,The Protective Effects of Supportive Parenting on the Relationship Between Adolescent Poverty and Resting-State Functional Brain Connectivity During Adulthood,https://doi.org/10.1177/0956797619847989,,,,,,
2019-30-7-1050,Variation in the _-Opioid Receptor Gene (OPRM1) Does Not Moderate Social-Rejection Sensitivity in Humans,https://doi.org/10.1177/0956797619849894,,,,,,
2019-30-7-1063,Reaching to the Self: The Development of Infants’ Ability to Localize Targets on the Body,https://doi.org/10.1177/0956797619850168,,,,,,
2019-30-7-1074,A Case of Evolutionary Mismatch? Why Facial Width-to-Height Ratio May Not Predict Behavioral Tendencies,https://doi.org/10.1177/0956797619849928,,,,,,
2019-30-7-1082,Letters Lost: Capturing Appearance in Crowded Peripheral Vision Reveals a New Kind of Masking,https://doi.org/10.1177/0956797619847166,,,,,,
2019-30-7-1087,Can Psychological Traits Be Inferred From Spending? Evidence From Transaction Data,https://doi.org/10.1177/0956797619849435,,,,,,
2019-30-7-1097,Mind the (Inferential) Gap: Giles et al. (2018) Provide No Convincing Evidence for a Causal Relationship Between Interceptive-Timing Ability and Arithmetic Attainment,https://doi.org/10.1177/0956797619834513,,,,,,
2019-30-7-1099,Comment on Yoon and Vargas (2014): An Implausibly Large Effect From Implausibly Invariant Data,https://doi.org/10.1177/0956797618815434,,,,,,
2019-30-7-1103,Using Behavioral Science To Inform Policies Limiting Sugary-Drink Portions: Reply to Wilson and Stolarz-Fantino (2018),https://doi.org/10.1177/0956797619851731,,,,,,
2019-30-7-1106,Corrigendum: Memory for Repeated Images in Rapid-Serial-Visual-Presentation Streams of Thousands of Images,https://doi.org/10.1177/0956797619854116,,,,,,
2019-30-7-1107,Retraction of “The Decoy Effect as a Nudge: Boosting Hand Hygiene With a Worse Option”,https://doi.org/10.1177/0956797619858006,,,,,,
2019-30-8-1111,Happiness and Social Behavior,https://doi.org/10.1177/0956797619849666,,,,,,
2019-30-8-1123,Fear Without Context: Acute Stress Modulates the Balance of Cue-Dependent and Contextual Fear Learning,https://doi.org/10.1177/0956797619852027,,,,,,
2019-30-8-1136,Challenging Moral Attitudes With Moral Messages,https://doi.org/10.1177/0956797619854706,,,,,,
2019-30-8-1151,Specks of Dirt and Tons of Pain: Dosage Distinguishes Impurity From Harm,https://doi.org/10.1177/0956797619855382,,,,,,
2019-30-8-1161,High Endogenous Testosterone Levels Are Associated With Diminished Neural Emotional Control in Aggressive Police Recruits,https://doi.org/10.1177/0956797619851753,,,,,,
2019-30-8-1174,Capture and Control: Working Memory Modulates Attentional Capture by Reward-Related Stimuli,https://doi.org/10.1177/0956797619855964,,,,,,
2019-30-8-1186,College Expectations Promote College Attendance: Evidence From a Quasiexperimental Sibling Study,https://doi.org/10.1177/0956797619855385,,,,,,
2019-30-8-1195,The Illusion of Consensus: A Failure to Distinguish Between True and False Consensus,https://doi.org/10.1177/0956797619856844,,,,,,
2019-30-8-1205,Inheritance of Neural Substrates for Motivation and Pleasure,https://doi.org/10.1177/0956797619859340,,,,,,
2019-30-8-1218,What the Future Holds and When: A Description–Experience Gap in Intertemporal Choice,https://doi.org/10.1177/0956797619858969,,,,,,
2019-30-8-1234,"Childhood Adversity, Socioeconomic Instability, Oxytocin-Receptor-Gene Methylation, and Romantic-Relationship Support Among Young African American Men",https://doi.org/10.1177/0956797619854735,,,,,,
2019-30-8-1245,Mutualistic Coupling Between Vocabulary and Reasoning in Young Children: A Replication and Extension of the Study by Kievit et al. (2017),https://doi.org/10.1177/0956797619841265,,,,,,
